Month,Agency,Ridership
08/01/2023,B&T,29727855
09/01/2023,LIRR,5569954
09/01/2023,Subway,95253595
09/01/2023,Bus,27730672
09/01/2023,AAR,914761
09/01/2023,SIR,186140
09/01/2023,B&T,27784181
10/01/2023,LIRR,6032844
10/01/2023,Subway,103949018
10/01/2023,Bus,29009501
10/01/2023,AAR,988242
10/01/2023,SIR,216059
10/01/2023,B&T,29001319
11/01/2023,LIRR,5845387
11/01/2023,Subway,98511566
11/01/2023,Bus,26181495
11/01/2023,AAR,968057
11/01/2023,SIR,201180
11/01/2023,B&T,27668790
12/01/2023,LIRR,5840589
12/01/2023,Subway,95685578
12/01/2023,Bus,24252199
12/01/2023,AAR,976165
12/01/2023,SIR,180393
12/01/2023,B&T,27686588
01/01/2024,Subway,91419551
01/01/2024,LIRR,5490105
01/01/2024,AAR,928328
01/01/2024,SIR,189970
01/01/2024,Bus,24912126
01/01/2024,B&T,25395118
